Composition,doi,Phase,Density (g/cm3),Hardness (GPa),YS (MPa) at 23 C,YS (MPa) at 1000 C,YS (MPa) at 1200 C,Test Type
CoCrFeNiMn,10.1016/j.msea.2017.08.083,FCC,,,850,,,T
CoCrFeNiMn,10.1016/j.msea.2017.08.083,FCC,,,820,,,T
CoCrFeNiMn,10.1016/j.msea.2017.08.083,FCC,,,530,,,T
CoCrFeNiMn,10.1016/j.msea.2017.08.083,FCC,,,980,,,T
CoCrFeNiMn,10.1016/j.msea.2017.08.083,FCC,,,1015,,,T
CoCrFeNiMn,10.1016/j.msea.2017.08.083,FCC,,,890,,,T
CoCrFeNiMn,10.1016/j.msea.2017.08.083,FCC,,,560,,,T
CoCrFeNiMn,10.1016/j.msea.2017.08.083,FCC,,,925,,,
CoCrFeNiMn,10.1016/j.msea.2017.08.083,FCC,,,985,,,
Ti,10.1016/j.msec.2016.12.057,BCC,,116,195,,,
Zr,10.1016/j.msec.2016.12.057,BCC,,88,280,,,
Nb,10.1016/j.msec.2016.12.057,BCC,,105,240,,,
Ta,10.1016/j.msec.2016.12.057,BCC,,186,170,,,
Mo,10.1016/j.msec.2016.12.057,BCC,,329,420,,,
TiZrNbTaMo,10.1016/j.msec.2016.12.057,BCC,,,261,,,
TiZrNbTaMo,10.1016/j.msec.2016.12.057,BCC,,,1390,,,
Ni1.5CoFeCu0.9Al0.1V0.5,10.1016/j.msea.2017.09.119,FCC,,,1219,,,C
Ni1.5CoFeCu0.8Al0.2V0.5,10.1016/j.msea.2017.09.119,FCC,,,1504,,,C
Ni1.5CoFeCu0.7Al0.3V0.5,10.1016/j.msea.2017.09.119,FCC,,,1721,,,C
V35Ti35Fe15Cr10Zr5,10.1016/j.matdes.2017.02.029,0.67,,,917.8,,,
V35Ti35Fe15Cr10Zr5,10.1016/j.matdes.2017.02.029,12.2,,,,224.8,,
AlCoCuFeNi,10.1016/j.matdes.2016.12.036,,,202,1060,,,C
AlCoCuFeNiCr,10.1016/j.matdes.2016.12.036,,,219,1285,,,C
AlCoCuFeNiTi,10.1016/j.matdes.2016.12.036,,,231,1612,,,C
AlCoCuFeNiCrTi,10.1016/j.matdes.2016.12.036,,,239,1523,,,C
AlNbTiV,10.1016/j.msea.2017.08.019,BCC,5.59,,1000,,,C
AlNbTiV,10.1016/j.msea.2017.08.019,BCC,5.59,,,560,,C
AlNbTiVZr0.1,10.1016/j.msea.2017.08.019,BCC,5.53,,1290,,,C
AlNbTiVZr0.1,10.1016/j.msea.2017.08.019,BCC,5.53,,,865,,C
AlNbTiVZr0.25,10.1016/j.msea.2017.08.019,BCC,5.57,,1360,,,C
AlNbTiVZr0.25,10.1016/j.msea.2017.08.019,BCC,5.57,,,855,,C
AlNbTiVZr0.5,10.1016/j.msea.2017.08.019,BCC,5.64,,1485,,,C
AlNbTiVZr0.5,10.1016/j.msea.2017.08.019,BCC,5.64,,,675,,C
AlNbTiVZr,10.1016/j.msea.2017.08.019,BCC,5.79,,1500,,,C
AlNbTiVZr,10.1016/j.msea.2017.08.019,BCC,5.79,,,550,,C
AlNbTiVZr1.5,10.1016/j.msea.2017.08.019,BCC,5.87,,1535,,,C
AlNbTiVZr1.5,10.1016/j.msea.2017.08.019,BCC,5.87,,,180,,C
HfZrTiTa0.53,10.1016/j.matdes.2017.08.022,BCC,,,774,,,C
HfZrTiTa0.53,10.1016/j.matdes.2017.08.022,BCC,,,1360,,,C
HfZrTiTa0.53,10.1016/j.matdes.2017.08.022,BCC,,,1469,,,C
HfZrTiTa0.53,10.1016/j.matdes.2017.08.022,BCC,,,1390,,,C
HfZrTiTa0.53,10.1016/j.matdes.2017.08.022,BCC,,,1388,,,C
CoCrCuFeNi,10.1016/j.msea.2017.09.102,FCC,,,320,,,C
Gd0.05CoCrCuFeNi,10.1016/j.msea.2017.09.102,FCC,,,300,,,C
Gd0.1CoCrCuFeNi,10.1016/j.msea.2017.09.102,FCC,,,526,,,C
Gd0.2CoCrCuFeNi,10.1016/j.msea.2017.09.102,FCC,,,739,,,C
Gd0.3CoCrCuFeNi,10.1016/j.msea.2017.09.102,FCC,,,1132,,,C
Ni,10.1016/j.intermet.2017.03.011,FCC,,,59,,,
NiCo,10.1016/j.intermet.2017.03.011,FCC,,,110,,,
NiFe,10.1016/j.intermet.2017.03.011,FCC,,,187,,,
NiCoMn,10.1016/j.intermet.2017.03.011,FCC,,,230,,,
NiFeMn,10.1016/j.intermet.2017.03.011,FCC,,,229,,,
NiCoFe,10.1016/j.intermet.2017.03.011,FCC,,,213,,,
NiCoFeMn,10.1016/j.intermet.2017.03.011,FCC,,,176,,,
NiCoFeCr,10.1016/j.intermet.2017.03.011,FCC,,,140,,,
NiCoFeCr,10.1016/j.intermet.2017.03.011,FCC,,,130,,,
NiCoFeCr,10.1016/j.intermet.2017.03.011,FCC,,,147,,,
NiCoFeCr,10.1016/j.intermet.2017.03.011,FCC,,,165,,,
NiCoCrFeMn,10.1016/j.intermet.2017.03.011,FCC,,,215,,,
NiCoCrFeMn,10.1016/j.intermet.2017.03.011,FCC,,,215,,,
NiCoCrFeMn,10.1016/j.intermet.2017.03.011,FCC,,,162,,,
NiCoCrFeMn,10.1016/j.intermet.2017.03.011,FCC,,,209,,,
Ni19.2Co19.2Cr19.2Fe19.2Mn19.2Al4,10.1016/j.intermet.2017.03.011,,,,220,,,
Ni18.6Co18.6Cr18.6Fe18.6Mn18.6Al7 ,10.1016/j.intermet.2017.03.011,,,,242,,,
CoCrFeNi,10.1007/s1254 0-019-00565 -z,,,,145,,,
CoCrFeNiTa0.1,10.1007/s1254 0-019-00565 -z,,,,267,,,
CoCrFeNiTa0.2,10.1007/s1254 0-019-00565 -z,,,,405,,,
CoCrFeNiTa0.3,10.1007/s1254 0-019-00565 -z,,,,946,,,
CoCrFeNiTa0.4,10.1007/s1254 0-019-00565 -z,,,,1316,,,
CoCrFeNiTa0.5,10.1007/s1254 0-019-00565 -z,,,,1346,,,
AlMo0.5NbTa0.5TiZr,10.1007/s1254 0-019-00565 -z,,,,2368,,,
AlMo0.5NbTa0.5TiZr,10.1007/s1254 0-019-00565 -z,,,,,772,,
AlMo0.5NbTa0.5TiZr,10.1007/s1254 0-019-00565 -z,,,,,,275,
Al0.4Hf0.6NbTaTiZr,10.1007/s1254 0-019-00565 -z,,,,2269,,,
Al0.4Hf0.6NbTaTiZr,10.1007/s1254 0-019-00565 -z,,,,,455,,
Al0.4Hf0.6NbTaTiZr,10.1007/s1254 0-019-00565 -z,,,,,,135,
TaNbHfZrTi,10.1007/s1254 0-019-00565 -z,,,,929,,,
Al0.3CrFe1.5MnNi0.5,10.1007/s1254 0-019-00565 -z,,,,298.8,,,
CoFeNiMnAl,10.1007/s1254 0-019-00565 -z,,,,577.4,,,
CoFeNiMnTi0.1Al0.9,10.1007/s1254 0-019-00565 -z,,,,926.7,,,
CoFeNiMnTi0.3Al0.7,10.1007/s1254 0-019-00565 -z,,,,1106.6,,,
CoFeNiMnTi0.5Al0.5,10.1007/s1254 0-019-00565 -z,,,,1052.8,,,
CoFeNiMnTi0.8Al0.2,10.1007/s1254 0-019-00565 -z,,,,1125.8,,,
CoFeNiMnTi,10.1007/s1254 0-019-00565 -z,,,,1070.5,,,
HfNbTiZr,10.1007/s1254 0-019-00565 -z,,,,706,,,
Al0.5HfNbTiZr,10.1007/s1254 0-019-00565 -z,,,,1120,,,
Al0.75HfNbTiZr,10.1007/s1254 0-019-00565 -z,,,,1331,,,
AlHfNbTiZr,10.1007/s1254 0-019-00565 -z,,,,1582,,,
Al1.25HfNbTiZr,10.1007/s1254 0-019-00565 -z,,,,1620,,,
Al1.5HfNbTiZr,10.1007/s1254 0-019-00565 -z,,,,1746,,,
MoNbHfZrTi,10.1007/s1254 0-019-00565 -z,,,,1719,,,
MoNbHfZrTi,10.1007/s1254 0-019-00565 -z,,,,1575,,,
MoNbHfZrTi,10.1007/s1254 0-019-00565 -z,,,,,635,,
MoNbHfZrTi,10.1007/s1254 0-019-00565 -z,,,,,,187,
Mo0.5NbHf0.5ZrTi,10.1007/s1254 0-019-00565 -z,,,,1192,,,
Mo0.5NbHf0.5ZrTiC0.1,10.1007/s1254 0-019-00565 -z,,,,1183,,,
Mo0.5NbHf0.5ZrTiC0.3,10.1007/s1254 0-019-00565 -z,,,,1201,,,
HfMoNbTaTiZr,10.1007/s1254 0-019-00565 -z,,,,1512,,,
HfMoNbTaTiZr,10.1007/s1254 0-019-00565 -z,,,,,814,,
HfMoNbTaTiZr,10.1007/s1254 0-019-00565 -z,,,,,,556,
HfMoTaTiZr,10.1007/s1254 0-019-00565 -z,,,,1600,,,
HfMoTaTiZr,10.1007/s1254 0-019-00565 -z,,,,,855,,
HfMoTaTiZr,10.1007/s1254 0-019-00565 -z,,,,,,404,
AlNbTiV,10.1007/s1254 0-019-00565 -z,,,,1000,,,
AlCr0.5NbTiV,10.1007/s1254 0-019-00565 -z,,,,1300,,,
AlCrNbTiV,10.1007/s1254 0-019-00565 -z,,,,1550,,,
AlNbTiV,10.1007/s1254 0-019-00565 -z,,,,1000,,,
AlNbTiVZr0.5,10.1007/s1254 0-019-00565 -z,,,,1485,,,
AlNbTiVZr,10.1007/s1254 0-019-00565 -z,,,,1500,,,
HfMo0.5NbTiV0.5,10.1007/s1254 0-019-00565 -z,,,,1260,,,
HfMo0.5NbTiV0.5Si0.3,10.1007/s1254 0-019-00565 -z,,,,1617,,,
HfMo0.5NbTiV0.5Si0.5,10.1007/s1254 0-019-00565 -z,,,,1787,,,
HfMo0.5NbTiV0.5Si0.7,10.1007/s1254 0-019-00565 -z,,,,2134,,,
Al0.3CoCrFeNi,10.1007/s1254 0-019-00565 -z,,,,119,,,
Al0.3CoCrFeNiMn0.1,10.1007/s1254 0-019-00565 -z,,,,149,,,
Al0.3CoCrFeNiMn0.3,10.1007/s1254 0-019-00565 -z,,,,158,,,
FeCoCrNiMnTi0.1C0.1,10.1007/s1254 0-019-00565 -z,,,,,1194,,
FeCoCrNiMn,10.1007/s1254 0-019-00565 -z,,,,1314,,,
FeCoCrNiMnAl0.1,10.1007/s1254 0-019-00565 -z,,,,1631,,,
FeCoCrNiMnAl0.3,10.1007/s1254 0-019-00565 -z,,,,1836,,,
FeCoCrNiMnAl0.5,10.1007/s1254 0-019-00565 -z,,,,1932,,,
FeCoCrNiMnAl0.7,10.1007/s1254 0-019-00565 -z,,,,2230,,,
AlFeCuCr,10.1007/s1254 0-019-00565 -z,,,,1950,,,
AlFeCuCrMg0.5,10.1007/s1254 0-019-00565 -z,,,,2559,,,
AlFeCuCrMg,10.1007/s1254 0-019-00565 -z,,,,2220,,,
AlFeCuCrMg1.5,10.1007/s1254 0-019-00565 -z,,,,1559,,,
Al0.3CoCrFeNi,10.1007/s1254 0-019-00565 -z,,,,200,,,
Al0.6CoCrFeNi,10.1007/s1254 0-019-00565 -z,,,,400,,,
Al0.85CoCrFeNi,10.1007/s1254 0-019-00565 -z,,,,1400,,,
FeNiCoCrAl13,10.1016/j.msea.2018.02.044,,,138,330,,,
FeNiCoCrAl13,10.1016/j.msea.2018.02.044,,,140,,370,,
FeNiCoCrAl13,10.1016/j.msea.2018.02.044,,,142,,,410,
FeNiCoCrAl13,10.1016/j.msea.2018.02.044,,,136,,,385,
FeMn,10.1016/j.matdes.2018.07.046,,,204.5,191,,,
FeMnNi,10.1016/j.matdes.2018.07.046,,,203,357,,,
FeMnNiCo,10.1016/j.matdes.2018.07.046,,,204.5,215,,,
FeMnNiCoCu,10.1016/j.matdes.2018.07.046,,,189.6,499,,,
AlCoCrFeNi2.1,10.1016/j.matchemphys.2017.06.023,Multi phase,,,620,,,T
Al3.31Cr18Fe18Ni54.54Ti5.78,10.1016/j.matchemphys.2017.09.057,FCC,,,755,,,T
Al3.31Co27Cr18Fe18Ni27.27Ti5.78,10.1016/j.matchemphys.2017.09.057,FCC,,,952,,,T
Al3.31Co27Cr18Fe18Ni27.27Ti5.78,10.1016/j.matchemphys.2017.09.057,FCC,,,,126,,T
FeCoCrNiMn,10.1016/j.msea.2018.02.040,FCC,,,774,,,C
FeCoCrNiMnTi0.3C0.3,10.1016/j.msea.2018.02.040,FCC,,,1445,,,C
CoCrFeNiMn,10.1016/j.matchemphys.2017.08.011,FCC,,,250,,,T
CoCrFeNiMnC0.05,10.1016/j.matchemphys.2017.08.011,FCC,,,290,,,T
CoCrFeNiMnC0.1,10.1016/j.matchemphys.2017.08.011,FCC,,,350,,,T
CoCrFeNiMnC0.15,10.1016/j.matchemphys.2017.08.011,FCC,,,425,,,T
CoCrFeNiMnC0.2,10.1016/j.matchemphys.2017.08.011,FCC,,,500,,,T
ZrTiHfNb0.5Ta0.5,10.1016/j.matlet.2018.05.123,,,,738,,,C
ZrTiHfNb0.5Ta0.5,10.1016/j.matlet.2018.05.123,,,,,170,,C
ZrTiHfNb0.5Ta0.5O0.05,10.1016/j.matlet.2018.05.123,,,,955,,,C
ZrTiHfNb0.5Ta0.5O0.05,10.1016/j.matlet.2018.05.123,,,,,327,,C
ZrTiHfNb0.5Ta0.5O0.1,10.1016/j.matlet.2018.05.123,,,,1097,,,C
ZrTiHfNb0.5Ta0.5O0.1,10.1016/j.matlet.2018.05.123,,,,,380,,C
ZrTiHfNb0.5Ta0.5O0.2,10.1016/j.matlet.2018.05.123,,,,1393,,,C
ZrTiHfNb0.5Ta0.5O0.2,10.1016/j.matlet.2018.05.123,,,,,537,,C
Fe40Mn40Co10Cr10,10.1016/j.msea.2018.01.045,FCC,,,213,,,T
(Fe40Mn40Co10Cr10)97.8C2.2,10.1016/j.msea.2018.01.045,FCC,,,310,,,T
(Fe40Mn40Co10Cr10)96.7C3.3,10.1016/j.msea.2018.01.045,FCC,,,422,,,T
(Fe40Mn40Co10Cr10)95.6C4.4,10.1016/j.msea.2018.01.045,FCC,,,467,,,T
(Fe40Mn40Co10Cr10)93.4C6.6,10.1016/j.msea.2018.01.045,FCC,,,620,,,T
(Fe40Mn40Co10Cr10)91.1C8.9,10.1016/j.msea.2018.01.045,FCC,,,750,,,T
AlCrCuNiFeCo,10.1016/j.matchemphys.2017.07.079,,,,18,,,T
AlCrCuNiFeCo,10.1016/j.matchemphys.2017.07.079,,,,,800,,
AlCoCrCuFeNi,10.1016/j.matchemphys.2017.07.079,,,,,150,,T
FeCoNiCrMn,10.1016/j.matchemphys.2017.07.079,,,,,260,,
CoCrFeMnNi,10.1016/j.matchemphys.2017.07.079,,,,200,,,
FeCoNiCrTiAl,10.1016/j.matchemphys.2017.07.079,,,,,260,,
CoCrFeMnNi,10.1016/j.matchemphys.2017.07.079,,,,,300,,T
CoCrFeNiMn,10.1016/j.matchemphys.2017.07.079,,,,,350,,T
CoCrFeNiMnTi0.1,10.1016/j.matchemphys.2017.07.079,,,,10,,,T
CoCrFeNi,10.1016/j.matchemphys.2017.07.079,,,,,300,,
Al0.1CoCrFeNi,10.1016/j.matchemphys.2018.05.050,FCC,,,160,,,T
Al0.1CoCrFeNi,10.1016/j.matchemphys.2018.05.050,FCC,,,544,,,T
CoFeNiMnAl,10.1016/j.msea.2018.06.022,FCC+BCC,,,577.4,,,C
CoFeNiMnTi0.1Al0.9,10.1016/j.msea.2018.06.022,FCC+BCC,,,926.7,,,C
CoFeNiMnTi0.3Al0.7,10.1016/j.msea.2018.06.022,FCC+BCC,,,1106.6,,,C
CoFeNiMnTi0.5Al0.5,10.1016/j.msea.2018.06.022,FCC+BCC,,,1052.8,,,C
CoFeNiMnTi0.8Al0.2,10.1016/j.msea.2018.06.022,FCC+BCC,,,1125.8,,,C
CoFeNiMnTi,10.1016/j.msea.2018.06.022,FCC+BCC,,,1070.5,,,C
CoFeMnNi,10.1016/j.msea.2018.09.050,FCC,,,124,,,C
CoFeMnNiTi0.25,10.1016/j.msea.2018.09.050,FCC,,,317,,,C
CoFeMnNiTi0.5,10.1016/j.msea.2018.09.050,FCC,,,803,,,C
CoFeMnNiTi0.75,10.1016/j.msea.2018.09.050,FCC+BCC,,,1578,,,C
CoCrFeNiTi0.3,10.1016/j.msea.2018.09.050,,,,648,,,C
CoCrFeNiTi0.5,10.1016/j.msea.2018.09.050,,,,898,,,C
CoCrFeNiMo0.3,10.1016/j.msea.2018.09.050,,,,305,,,C
CoCrFeNiMo0.5,10.1016/j.msea.2018.09.050,,,,510,,,C
CoCrFeNiMo0.85,10.1016/j.msea.2018.09.050,,,,929,,,C
CoCrCuFeNiTi0.5,10.1016/j.msea.2018.09.050,,,,700,,,C
CoCrCuFeNiTi0.8,10.1016/j.msea.2018.09.050,,,,1042,,,C
CoCrCuFeNiTi,10.1016/j.msea.2018.09.050,,,,1272,,,C
CoCrCuFeNiGd0.1,10.1016/j.msea.2018.09.050,,,,526,,,C
CoCrCuFeNiGd0.2,10.1016/j.msea.2018.09.050,,,,739,,,C
CoCrCuFeNiGd0.3,10.1016/j.msea.2018.09.050,,,,1132,,,C
Fe30Mn10Cr10Co,10.1016/j.prostr.2018.12.159,FCC+HCP,,,172,,,T
AlFeCoNi,10.1016/j.msea.2018.05.013,,,,810,,,C
AlFeCoNiC0.5,10.1016/j.msea.2018.05.013,,,,983,,,C
AlFeCoNiC0.5,10.1016/j.msea.2018.05.013,,,,1041,,,C
AlFeCoNiC2.0,10.1016/j.msea.2018.05.013,,,,1115,,,C
AlFeCoNiC4.1,10.1016/j.msea.2018.05.013,,,,1069,,,C
Al0.1CoCrFeNi,10.1016/j.msea.2018.04.108,FCC,,,175,,,T
Al0.1CoCrFeNi,10.1016/j.msea.2018.04.108,FCC,,,464,,,T
Al0.1CoCrFeNi,10.1016/j.msea.2018.04.108,FCC,,,749,,,T
Al0.1CoCrFeNi,10.1016/j.msea.2018.04.108,FCC,,,552,,,T
Al0.1CoCrFeNi,10.1016/j.msea.2018.04.108,FCC,,,412,,,T
Al0.1CoCrFeNi,10.1016/j.msea.2018.04.108,FCC,,,520,,,T
Al0.1CoCrFeNi,10.1016/j.msea.2018.04.108,FCC,,,360,,,T
AlCoCrFeNi,10.1016/j.intermet.2018.09.011,FCC+BCC,,,1702.8,,,C
(AlCoCrFeNi)95Fe5,10.1016/j.intermet.2018.09.011,FCC+BCC,,,1332.5,,,C
(AlCoCrFeNi)85Fe15,10.1016/j.intermet.2018.09.011,FCC+BCC,,,973.2,,,C
(AlCoCrFeNi)80Fe20,10.1016/j.intermet.2018.09.011,FCC+BCC,,,899.8,,,C
AlCoCrFeNi,10.1016/j.intermet.2018.09.011,BCC,,,1500,,,C
AlCoCrFeNiTi0.5,10.1016/j.intermet.2018.09.011,BCC,,,2260,,,C
Cu0.25AlCoCrFeNiTi0.5,10.1016/j.intermet.2018.09.011,BCC,,,1994,,,C
AlCoCrFeNi,10.1016/j.intermet.2018.09.011,BCC,,,1373,,,C
AlCoCrFeNi,10.1016/j.intermet.2018.09.011,BCC + B2,,,1380,,,C
AlCoCrFeNiTi0.4,10.1016/j.intermet.2018.09.011,BCC + B2,,,1970,,,C
AlCoCrFeNiZr0.008,10.1016/j.intermet.2018.09.011,BCC + B2,,,1560,,,C
Fe34Cr34Ni14Al14Co4,10.1016/j.intermet.2018.09.011,BCC + B2,,,1353,,,C
AlCoCrFeNi,10.1016/j.intermet.2018.09.011,BCC + B2,,,1308,,,C
(AlCoCrFeNi)100Ni0,10.1016/j.intermet.2018.09.011,BCC,,,1245,,,C
(AlCoCrFeNi)92Ni8,10.1016/j.intermet.2018.09.011,FCC+BCC,,,760,,,C
(AlCoCrFeNi)88Ni12,10.1016/j.intermet.2018.09.011,FCC+BCC,,,510,,,C
(AlCoCrFeNi)84Ni16,10.1016/j.intermet.2018.09.011,FCC+BCC,,,355,,,C
(AlCoCrFeNi)100Co0,10.1016/j.intermet.2018.09.011,BCC,,,1330,,,C
(AlCoCrFeNi)92Co8,10.1016/j.intermet.2018.09.011,FCC+BCC,,,1340,,,C
(AlCoCrFeNi)88Co12,10.1016/j.intermet.2018.09.011,FCC+BCC,,,1130,,,C
(AlCoCrFeNi)84Co16,10.1016/j.intermet.2018.09.011,FCC+BCC,,,805,,,C
CoCrFeMnNi,10.1016/j.matchar.2018.09.029,FCC,,,1160,,,
CoCrFeMnNi,10.1016/j.matchar.2018.09.029,FCC,,,1362,,,
CoCrFeMnNi,10.1016/j.matchar.2018.09.029,FCC,,,455,,,T
CoCrFeMnNi,10.1016/j.matchar.2018.09.029,FCC,,,700,,,T
NbMoTaW,10.1016/j.msea.2017.12.004,BCC,,,996,,,C
Ti0.25NbMoTaW,10.1016/j.msea.2017.12.004,BCC,,,1109,,,C
Ti0.5NbMoTaW,10.1016/j.msea.2017.12.004,BCC,,,1211,,,C
Ti0.75NbMoTaW,10.1016/j.msea.2017.12.004,BCC,,,1304,,,C
TiNbMoTaW,10.1016/j.msea.2017.12.004,BCC,,,1455,,,C
CrCoNi,10.1016/j.actamat.2018.02.037,FCC,,,304,,,T
CrCoNiFe,10.1016/j.actamat.2018.02.037,FCC,,,274,,,T
CrCoNiMn,10.1016/j.actamat.2018.02.037,FCC,,,282,,,T
CrCoNiFeMn,10.1016/j.actamat.2018.02.037,FCC,,,215,,,T
CoCrFeNiTi0.3,10.1016/j.matchemphys.2017.07.024,FCC,,,552,,,C
Co0.8CrFeNiTi0.3,10.1016/j.matchemphys.2017.07.024,FCC,,,590,,,C
Co0.6CrFeNiTi0.3,10.1016/j.matchemphys.2017.07.024,FCC,,,667,,,C
AlCoCrFeNi,10.1016/j.jallcom.2018.01.247,,,,1300,,,C
Al0.8CoCrFeNiTi0.2,10.1016/j.jallcom.2018.01.247,,,,968,,,C
Al0.5CoCrFeNiTi0.5,10.1016/j.jallcom.2018.01.247,,,,1100,,,C
AlCoCrCuFeNi,10.1016/j.jallcom.2018.01.247,,,,1300,,,C
AlCoCrCuFeMo0.2Ni,10.1016/j.jallcom.2018.01.247,,,,1420,,,C
AlCoCrCuFeMo0.4Ni,10.1016/j.jallcom.2018.01.247,,,,1690,,,C
AlCoCrCuFeMo0.6Ni,10.1016/j.jallcom.2018.01.247,,,,1880,,,C
AlCoCrCuFeMo0.8Ni,10.1016/j.jallcom.2018.01.247,,,,1920,,,C
AlCoCrCuFeMoNi,10.1016/j.jallcom.2018.01.247,,,,1750,,,C
AlCoCrFeNiTi0.5,10.1016/j.jallcom.2018.01.247,,,,2260,,,C
AlCoCrFeNiTi1.0,10.1016/j.jallcom.2018.01.247,,,,1860,,,C
AlCoCrFeNiTi1.5,10.1016/j.jallcom.2018.01.247,,,,2220,,,C
CoCrCuFeNiTi0.5,10.1016/j.jallcom.2018.01.247,,,,700,,,C
CoCrCuFeNiTi0.8,10.1016/j.jallcom.2018.01.247,,,,1042,,,C
CoCrCuFeNiTi,10.1016/j.jallcom.2018.01.247,,,,1272,,,C
AlCoCrFeNb0.1Ni,10.1016/j.jallcom.2018.01.247,,,,1641,,,C
AlCoCrFeNb0.25Ni,10.1016/j.jallcom.2018.01.247,,,,1959,,,C
AlCoCrFeNb0.5Ni,10.1016/j.jallcom.2018.01.247,,,,2475,,,C
AlC0.1CoCrFeNi,10.1016/j.jallcom.2018.01.247,,,,957,,,C
AlC0.2CoCrFeNi,10.1016/j.jallcom.2018.01.247,,,,906,,,C
AlC0.3CoCrFeNi,10.1016/j.jallcom.2018.01.247,,,,867,,,C
AlC0.4CoCrFeNi,10.1016/j.jallcom.2018.01.247,,,,1056,,,C
AlC0.5CoCrFeNi,10.1016/j.jallcom.2018.01.247,,,,1060,,,C
AlC1.0CoCrFeNi,10.1016/j.jallcom.2018.01.247,,,,1251,,,C
AlC1.5CoCrFeNi,10.1016/j.jallcom.2018.01.247,,,,1255,,,C
AlCoCrFeNiSi0.2,10.1016/j.jallcom.2018.01.247,,,,1265,,,C
AlCoCrFeNiSi0.4,10.1016/j.jallcom.2018.01.247,,,,1481,,,C
AlCoCrFeNiSi0.6,10.1016/j.jallcom.2018.01.247,,,,1834,,,C
AlCoCrFeNiSi0.8,10.1016/j.jallcom.2018.01.247,,,,2179,,,C
AlCoCrFeNiSi,10.1016/j.jallcom.2018.01.247,,,,2411,,,C
CoCrFeNi,10.1016/j.matchemphys.2017.05.056,FCC,,,145,,,
CoCrFeNiTa0.1,10.1016/j.matchemphys.2017.05.056,FCC,,,267,,,
CoCrFeNiTa0.2,10.1016/j.matchemphys.2017.05.056,FCC,,,405,,,
CoCrFeNiTa0.3,10.1016/j.matchemphys.2017.05.056,FCC,,,946,,,
CoCrFeNiTa0.4,10.1016/j.matchemphys.2017.05.056,FCC,,,1316,,,
CoCrFeNiTa0.5,10.1016/j.matchemphys.2017.05.056,FCC,,,1346,,,
V10Cr15Fe40Co10Ni25,10.1016/j.matdes.2018.01.057,,,,397,,,T
V10Cr15Mn5Fe35Co10Ni25,10.1016/j.matdes.2018.01.057,,,,442,,,T
V10Cr15Mn10Fe30Co10Ni25,10.1016/j.matdes.2018.01.057,,,,544,,,T
Al0.1CrNbVMo,10.1016/j.jallcom.2018.07.145,BCC,7.96,,2863,,,C
Al0.1CrNbVMo,10.1016/j.jallcom.2018.07.145,BCC,7.96,,2863,,,C
WNbMoTaV,10.1016/j.jallcom.2018.07.145,BCC,,,2612,,,C
WNbMoTaV,10.1016/j.jallcom.2018.07.145,BCC,,,1246,,,C
AlMo0.5NbTa0.5TiZr,10.1016/j.jallcom.2018.07.145,BCC1+BCC2,,,2000,,,C
MoNbHfZrTi,10.1016/j.jallcom.2018.07.145,BCC,,,1719,,,C
HfMoTaTiZr,10.1016/j.jallcom.2018.07.145,BCC,,,1600,,,C
HfMoTaTiZrNb,10.1016/j.jallcom.2018.07.145,BCC,,,1512,,,C
AlNbTiV,10.1016/j.jallcom.2018.07.145,BCC,,,1020,,,C
NbCrMo0.5Ta0.5TiZr,10.1016/j.jallcom.2018.07.145,BCC,,,1595,,,C
Al0.1CrNbVMo,10.1016/j.jallcom.2018.07.145,BCC,7.96,,2863,,,C
Al0.1CrNbVMo,10.1016/j.jallcom.2018.07.145,BCC,7.96,,,1405,,C
AlCrFeNi,10.1016/j.jallcom.2018.07.346,BCC+B2,,,1271.2,,,C
AlCo0.25CrFeNi,10.1016/j.jallcom.2018.07.346,BCC+B2,,,1363.2,,,C
AlCo0.5CrFeNi,10.1016/j.jallcom.2018.07.346,BCC+B2,,,1349,,,C
AlCo0.75CrFeNi,10.1016/j.jallcom.2018.07.346,BCC+B2,,,1331.4,,,C
AlCoCrFeNi,10.1016/j.jallcom.2018.07.346,BCC+B2,,,1313.7,,,C
WNbMoTaV,10.1016/j.msea.2017.12.021,BCC,,,2612,,,C
WNbMoTaV,10.1016/j.msea.2017.12.021,BCC,,,1246,,,C
AlMo0.5NbTa0.5TiZr,10.1016/j.msea.2017.12.021,BCC1 + BCC2,,,2000,,,C
Al0.5NbV0.2Ta0.8Ti1.5Zr,10.1016/j.msea.2017.12.021,BCC1 + BCC2,,,2035,,,C
MoNbHfZrTi,10.1016/j.msea.2017.12.021,BCC,,,1719,,,C
HfMoTaTiZr,10.1016/j.msea.2017.12.021,BCC,,,1600,,,C
HfMoTaTiZrNb,10.1016/j.msea.2017.12.021,BCC,,,1512,,,C
AlNbTiV,10.1016/j.msea.2017.12.021,BCC,,,1020,,,C
NbCrMo0.5Ta0.5TiZr,10.1016/j.msea.2017.12.021,BCC,,,1595,,,C
AlCoCrFeNi,10.1016/j.addma.2018.06.006,,,,1073.5,,,T
Al18Cr21Fe20Co20Ni21,10.1016/j.intermet.2018.05.013,BCC,,,370,,,T
Al15.5Cr22.25Fe20Co20Ni22.25,10.1016/j.intermet.2018.05.013,FCC+BCC,,,590,,,T
Al13Cr23.5Fe20Co20Ni23.5,10.1016/j.intermet.2018.05.013,FCC,,,760,,,T
